"model_time","cost_drugs","cost_items","cost_total","count_deaths"
1,103141535.243,280190136.675,383331671.919,0
2,106831472.015,90171503.319,197002975.334,169.069
3,88525228.302,94684951.041,183210179.343,1735.101
4,57796044.517,74458628.497,132254673.014,6118.73
5,37825928.498,56568096.061,94394024.558,11109.839
6,12586686.533,41925374.31,54512060.843,15709.497
7,7964142.297,30499810.815,38463953.111,19548.897
8,5043969.204,21871287.894,26915257.098,22579.948
9,3197519.593,15506470.261,18703989.854,24885.079
10,2029331.149,10893711.26,12923042.408,26593.623
11,1289126.13,7595317.837,8884443.967,27836.687
12,819739.062,5262129.095,6081868.158,28727.975
13,521879.142,3626268.174,4148147.316,29359.688
14,332649.958,2487587.736,2820237.694,29803.292
15,212285.175,1699768.874,1912054.05,30112.449
16,135646.564,1157502.107,1293148.671,30326.532
17,86790.571,785893.18,872683.751,30473.993
18,55606.571,532201.035,587807.605,30575.092
19,35680.564,359583.575,395264.139,30644.127
20,22929.164,242465.577,265394.741,30691.11
21,14756.732,163203.066,177959.797,30722.988
22,9512.027,109679.117,119191.144,30744.561
23,6141.187,73606.44,79747.628,30759.127
24,3971.652,49337.595,53309.247,30768.941
25,2572.948,33034.812,35607.76,30775.542
26,1669.619,22097.918,23767.537,30779.974
27,1085.305,14769.633,15854.938,30782.947
28,706.741,9864.508,10571.248,30784.937
