"model_time","cost_drugs","cost_items","cost_total","count_deaths"
1,6647575.72935322,7797698.19064619,14445273.9199994,0
2,4642445.37286514,624399.679294123,5266845.05215926,0
3,3172032.81251013,503282.595366879,3675315.40787701,0
4,2166358.91878693,393851.136377199,2560210.05516413,0
5,1479407.68230583,302217.379776748,1781625.06208257,0
6,98848.2499802244,228487.387619236,327335.63759946,0
7,67550.0002609097,170730.977218771,238280.97747968,0
8,46159.0440505388,126366.789083792,172525.833134331,0
9,31540.8480847431,92798.1733628221,124339.021447565,0
10,21551.8455136558,67702.3956773267,89254.2411909825,0
11,14727.3604518764,49118.1393992972,63845.4998511736,0
12,10063.8871988695,35460.6846464644,45524.5718453338,0
13,6876.43774685603,25491.5342187603,32367.9719656164,0
14,4698.39349020658,18256.2443843006,22954.6378745072,0
15,3210.06198715506,13031.4151651614,16241.4771523164,0
16,2193.21848919521,9274.54570874031,11467.7641979355,0
17,1498.45149543516,6583.28649223646,8081.73798767162,0
18,1023.75272340013,4661.98403897594,5685.73676237606,0
19,699.466873876185,3294.38029577264,3993.84716964882,0
20,477.902739669259,2323.32338539152,2801.22612506078,0
21,326.491741023068,1635.62408538724,1962.11582641031,0
22,223.073478906984,1149.62134476669,1372.69482367367,0
23,152.409668862209,806.804306366825,959.213975229034,0
24,104.126843566283,565.428291459496,669.55513502578,0
25,71.1393671407345,395.761678136236,466.901045276971,0
26,48.602899170506,276.680024802266,325.282923972772,0
27,33.2058603643227,193.215976501902,226.421836866225,0
28,22.6862128916564,134.793254489521,157.479467381177,137.965233859124
