"model_time","cost_drugs","cost_items","cost_total","count_deaths"
1,209403.464895529,549006.49431896,758409.959214489,0
2,192359.802610768,134908.171782938,327267.974393706,1.3288559397589
3,105048.101690808,64692.9439699737,169741.045660782,8.41396617238996
4,68239.8716068857,41219.9370949223,109459.808701808,14.1601578162971
5,46139.5512584071,28208.5169103532,74348.0681687603,18.2948948886595
6,3139.94974171326,19565.3514299098,22705.3011716231,21.2122821421798
7,2135.78221895915,13593.9754411761,15729.7576601353,23.2611094273265
8,1456.83094840764,9441.08026551552,10897.9112139232,24.6973323213932
9,994.192135008356,6552.14427927596,7546.33641428431,25.702017836431
10,678.606295948538,4543.89785956313,5222.50415551166,26.4037871846298
11,463.232566132361,3149.1227473259,3612.35531345826,26.8930321168669
12,316.262463717828,2180.95591818824,2497.21838190606,27.2340623719238
13,215.888874244571,1509.51915320742,1725.40802745199,27.4715085176868
14,147.391594158826,1044.19392660617,1191.58552076499,27.6365915045231
15,100.627640012757,721.942120150627,822.569760163384,27.7511980330713
16,68.7097448294638,498.886481694355,567.596226523819,27.8307262756304
17,46.9138294556324,344.578443393379,391.492272849011,27.88586841127
18,32.0325287117138,237.898745291055,269.931274002769,27.9240569632893
19,21.874258372866,164.18114280052,186.055401173386,27.9504865613817
20,14.9380062870556,113.264243479496,128.202249766552,27.9687631690472
21,10.2018800527474,78.1092512899068,88.3111313426542,27.981396633024
22,6.967258400783,53.8457855115669,60.8130439123499,27.9901264023924
23,4.75802408244558,37.1058274939658,41.8638515764114,27.9961570737332
24,3.24914226396423,25.5617423291544,28.8108845931186,28.0003204356059
25,2.21885105620878,17.6038564367612,19.82270749297,28.0031932290219
26,1.51530378869945,12.1201101816423,13.6354139703418,28.0051742398036
27,1.03489975585938,8.34224647427541,9.37714623013478,28.0065400649594
28,0.706776860957397,5.74058863274202,6.44736549369942,28.0074809813847
