"cost_drugs","cost_items","cost_total","count_deaths",".n_indiv",".strategy_names",".par_names",".par_value",".par_value_eval",".cost",".effect"
12572514.7154731,7056103.51238078,19628618.2278539,183.407425809935,115179,"strategy","rrr_pxlvd","0.7213",0.7213,19628618.2278539,183.407425809935
12576068.9673166,7409907.22699892,19985976.1943155,46.3488314512983,115179,"strategy","rrr_pxlvd","0.9556",0.9556,19985976.1943155,46.3488314512983
12574856.4596349,7271999.07595654,19846855.5355914,99.2756488665415,115179,"strategy","rrr_rmsvr","0.4141",0.4141,19846855.5355914,99.2756488665415
12574856.4596349,7271999.07595654,19846855.5355914,99.2756488665415,115179,"strategy","rrr_rmsvr","0.9688",0.9688,19846855.5355914,99.2756488665415
6341394.58507117,7271999.07595654,13613393.6610277,99.2756488665415,115179,"strategy","cost_A_pxlvd_drugs","51.6",51.6,13613393.6610277,99.2756488665415
30574659.5419195,7271999.07595654,37846658.6178761,99.2756488665415,115179,"strategy","cost_A_pxlvd_drugs","262.6",262.6,37846658.6178761,99.2756488665415
12580879.1749741,6913519.13186323,19494398.3068373,84.1586531808367,115179,"strategy","prob_AH_pxlvd","0.75 * general_params$prob_AH_pxlvd",0.00537975,19494398.3068373,84.1586531808367
12568634.3175067,7626463.35632354,20195097.6738303,114.214158177925,115179,"strategy","prob_AH_pxlvd","1.25 * general_params$prob_AH_pxlvd",0.00896625,20195097.6738303,114.214158177925
12574856.4596349,7271999.07595654,19846855.5355914,99.2756488665415,115179,"strategy","prob_AH_syntc","0.75 * general_params$prob_AH_syntc",0.048387,19846855.5355914,99.2756488665415
12574856.4596349,7271999.07595654,19846855.5355914,99.2756488665415,115179,"strategy","prob_AH_syntc","1.25 * general_params$prob_AH_syntc",0.080645,19846855.5355914,99.2756488665415
