"model_time","cost_drugs","cost_items","cost_total","count_deaths"
1,1749.13874538444,44070.0524015513,45819.1911469357,0
2,4547.58620420334,18687.2885073,23234.8747115033,0.0525694854515922
3,2746.39409823662,11438.0074960597,14184.4015942963,4.2138033388057
4,1700.57099769399,7103.87075847483,8804.44175616882,6.71997279289221
5,1058.69933970761,4414.93065896445,5473.62999867206,8.30150920581842
6,657.117834607992,2749.43266135456,3406.55049596256,9.28475816307582
7,410.386119677049,1718.23264046519,2128.61876014224,9.89373451600046
8,256.589973458531,1073.178565448,1329.76853890653,10.2766107725189
9,160.115039586722,669.550815658096,829.665855244818,10.5176496915512
10,99.8851052174676,418.170934348111,518.056039565579,10.6679566035082
11,62.4294824187616,260.529279631339,322.9587620501,10.7635619656301
12,38.7964128970943,162.367853041925,201.16426593902,10.8232847505989
13,24.2374962096904,101.49067736941,125.7281735791,10.860339128107
14,15.1568227674396,63.4729870568173,78.629809824257,10.8834813631166
15,9.47996521460318,39.7004389215812,49.1804041361844,10.8979524675077
16,5.92952224656102,24.8318858459021,30.7614080924632,10.9070034520124
17,3.7088161907744,15.5319353712888,19.2407515620632,10.9126646450725
18,2.31980459886358,9.71497569197773,12.0347802908413,10.9162056246585
19,1.45100059208714,6.07656169778522,7.52756228987236,10.9184204500322
20,0.907577646554931,3.80079209879426,4.70836974534919,10.9198057877855
21,0.567675295781346,2.37733464302878,2.94500993881013,10.9206722943754
22,0.355071814603295,1.4869847816192,1.84205659622249,10.9212142803823
23,0.222091738873445,0.930085189118552,1.152176927992,10.9215532839577
24,0.13891482919615,0.581753404427434,0.720668233623584,10.92176532527
25,0.0868890030247672,0.363877446414521,0.450766449439288,10.9218979537182
26,0.0543476811679253,0.227599520693098,0.281947201861023,10.9219809106905
27,0.0339909393036679,0.14219265281181,0.176183592115478,10.9220331325377
28,0.0212156672248879,0.0887353789755004,0.109951046200388,10.9220659937375
