"model_time","cost_drugs","cost_items","cost_total","count_drugs"
1,209403.464895529,549006.49431896,758409.959214489,1948.1045076
2,192359.802610768,134908.171782938,327267.974393706,1330.21835661099
3,105048.101690808,64692.9439699737,169741.045660782,908.309009789609
4,68239.8716068857,41219.9370949223,109459.808701808,620.21791622761
5,46139.5512584071,28208.5169103532,74348.0681687603,423.50153908395
6,3139.94974171326,19565.3514299098,22705.3011716231,289.178285428076
7,2135.78221895915,13593.9754411761,15729.7576601353,197.458741103997
8,1456.83094840764,9441.08026551552,10897.9112139232,134.830159811819
9,994.192135008356,6552.14427927596,7546.33641428431,92.065673533825
10,678.606295948538,4543.89785956313,5222.50415551166,62.8649276620811
11,463.232566132361,3149.1227473259,3612.35531345826,42.9258699607159
12,316.262463717828,2180.95591818824,2497.21838190606,29.3109430076657
13,215.888874244571,1509.51915320742,1725.40802745199,20.0141470400102
14,147.391594158826,1044.19392660617,1191.58552076499,13.6660932960904
15,100.627640012757,721.942120150627,822.569760163384,9.33150464039716
16,68.7097448294638,498.886481694355,567.596226523819,6.37175357778839
17,46.9138294556324,344.578443393379,391.492272849011,4.35077141582295
18,32.0325287117138,237.898745291055,269.931274002769,2.97080100189818
19,21.874258372866,164.18114280052,186.055401173386,2.02852729995925
20,14.9380062870556,113.264243479496,128.202249766552,1.38512239764654
21,10.2018800527474,78.1092512899068,88.3111313426542,0.945791588065221
22,6.967258400783,53.8457855115669,60.8130439123499,0.645806991190678
23,4.75802408244558,37.1058274939658,41.8638515764114,0.440971007919342
24,3.24914226396423,25.5617423291544,28.8108845931186,0.30110455984207
25,2.21885105620878,17.6038564367612,19.82270749297,0.205600718254635
26,1.51530378869945,12.1201101816423,13.6354139703418,0.140388625695317
27,1.03489975585938,8.34224647427541,9.37714623013478,0.0958603957803808
28,0.706776860957397,5.74058863274202,6.44736549369942,0.0654555554886223
